Code,Zone Category,Space Description,Space Category Codes,Source (for internal use),Include in BuildUp Area Calc.?,Include in Gross Area Calc.?,Include in Net Area Calc.?,Include in Gross Floor Area Calc.?,,,,,,,,,,,,,,,,,,,,,,,,,
32,Circulation Areas,Entrance,SC_15_10_15,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
33,Circulation Areas,Main Hall,SC_15_10_20,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
34,Circulation Areas,Open Court,SC_15_15_10,DM_GIS_BDDS_v5.3,No,No,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
35,Circulation Areas,Closed Court,SC_15_15_15,DM_GIS_BDDS_v5.3,No,No,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
36,Circulation Areas,Courtyard,SC_15_15_20,DM_GIS_BDDS_v5.3,No,No,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
37,Circulation Areas,Open To Sky,SC_15_15_25,DM_GIS_BDDS_v5.3,No,No,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
38,Circulation Areas,Veranda,SC_15_20_10,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
39,Circulation Areas,Pathway,SC_15_20_15,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
40,Circulation Areas,Atrium,SC_15_20_20,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
41,Circulation Areas,Corridor,SC_15_20_25,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
42,Circulation Areas,Internal Corridor,SC_15_20_30,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
43,Circulation Areas,Main Corridor,SC_15_20_35,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
44,Circulation Areas,Secondary Corridor,SC_15_20_40,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
45,Circulation Areas,Commercial Corridor,SC_15_20_45,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
46,Circulation Areas,Hallway,SC_15_20_50,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
47,Circulation Areas,Lobby,SC_15_25_10,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
48,Circulation Areas,Lift Lobby,SC_15_25_15,BIM_Standards,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
49,Circulation Areas,Lounge,SC_15_25_20,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
50,Circulation Areas,Cultural Hall,SC_15_30_10,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
